acc_x_raw,acc_y_raw,acc_z_raw,acc_x [g],acc_y [g],acc_z [g],gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x [deg/s],gyro_y [deg/s],gyro_z [deg/s],row [deg],pitch [deg],yaw [deg]
-21,160,2130,-0.010259,0.078163,1.040547,27,82,9,1.687500,5.125000,0.562500,4.295632,-0.563283,85.667458
-25,162,2129,-0.012213,0.079140,1.040059,-2,88,-60,-0.125000,5.500000,-3.750000,4.351070,-0.670832,85.597321
-25,164,2121,-0.012213,0.080117,1.036150,-15,86,16,-0.937500,5.375000,1.000000,4.421122,-0.673298,85.527702
-25,167,2121,-0.012213,0.081583,1.036150,-21,23,-91,-1.312500,1.437500,-5.687500,4.501667,-0.673225,85.448067
-25,157,2128,-0.012213,0.076698,1.039570,49,-59,91,3.062500,-3.687500,5.687500,4.219244,-0.671263,85.727501
-27,159,2122,-0.013190,0.077675,1.036639,7,-31,-106,0.437500,-1.937500,-6.625000,4.284781,-0.726946,85.653763
-24,168,2125,-0.011724,0.082071,1.038105,22,15,64,1.375000,0.937500,4.000000,4.520048,-0.645065,85.433968
-26,160,2131,-0.012702,0.078163,1.041036,40,44,-86,2.500000,2.750000,-5.375000,4.293514,-0.697060,85.650063
-24,160,2124,-0.011724,0.078163,1.037616,1,43,-34,0.062500,2.687500,-2.125000,4.307656,-0.645554,85.644058
-29,159,2120,-0.014167,0.077675,1.035662,-14,95,-14,-0.875000,5.937500,-0.875000,4.288754,-0.781519,85.640358
-23,160,2119,-0.011236,0.078163,1.035173,7,62,-61,0.437500,3.875000,-3.812500,4.317803,-0.620109,85.637726
-28,166,2126,-0.013679,0.081094,1.038593,62,4,-16,3.875000,0.250000,-1.000000,4.464262,-0.752268,85.472549
-22,160,2122,-0.010747,0.078163,1.036639,47,-89,-65,2.937500,-5.562500,-4.062500,4.311744,-0.592316,85.647606
-28,163,2126,-0.013679,0.079629,1.038593,32,-2,133,2.000000,-0.125000,8.312500,4.383900,-0.752350,85.551758
-24,163,2128,-0.011724,0.079629,1.039570,-1,23,-118,-0.062500,1.437500,-7.375000,4.379897,-0.644278,85.572784
-22,160,2132,-0.010747,0.078163,1.041524,19,82,-13,1.187500,5.125000,-0.812500,4.291598,-0.589554,85.667946
-26,159,2124,-0.012702,0.077675,1.037616,0,76,-37,0.000000,4.750000,-2.312500,4.280787,-0.699369,85.662247
-22,162,2131,-0.010747,0.079140,1.041036,-6,107,-67,-0.375000,6.687500,-4.187500,4.347070,-0.589787,85.612953
-22,163,2120,-0.010747,0.079629,1.035662,11,9,-26,0.687500,0.562500,-1.625000,4.396403,-0.592808,85.563652
-25,160,2127,-0.012213,0.078163,1.039082,33,-35,-31,2.062500,-2.187500,-1.937500,4.301581,-0.671506,85.646126
-25,162,2126,-0.012213,0.079140,1.038593,43,-51,86,2.687500,-3.187500,5.375000,4.357185,-0.671773,85.591133
-23,161,2121,-0.011236,0.078652,1.036150,46,-24,-120,2.875000,-1.500000,-7.500000,4.340606,-0.619506,85.615242
-26,165,2125,-0.012702,0.080606,1.038105,18,40,34,1.125000,2.500000,2.125000,4.439609,-0.698892,85.505501
-24,162,2123,-0.011724,0.079140,1.037127,15,88,-59,0.937500,5.500000,-3.687500,4.363341,-0.645810,85.588943
-25,165,2124,-0.012213,0.080606,1.037616,8,-33,-23,0.500000,-2.062500,-1.437500,4.441716,-0.672329,85.507484
-22,165,2122,-0.010747,0.080606,1.036639,5,-82,15,0.312500,-5.125000,0.937500,4.445954,-0.592210,85.514618
-27,165,2118,-0.013190,0.080606,1.034685,40,-86,16,2.500000,-5.375000,1.000000,4.454195,-0.728154,85.486443
-27,160,2119,-0.013190,0.078163,1.035173,37,-38,99,2.312500,-2.375000,6.187500,4.317708,-0.727943,85.621132
-29,164,2122,-0.014167,0.080117,1.036639,22,-17,-113,1.375000,-1.062500,-7.062500,4.418941,-0.780648,85.512367
-25,161,2120,-0.012213,0.078652,1.035662,11,123,-84,0.687500,7.687500,-5.250000,4.342599,-0.673687,85.605255
-26,159,2123,-0.012702,0.077675,1.037127,29,51,-1,1.812500,3.187500,-0.062500,4.282795,-0.699697,85.660217
-24,163,2126,-0.011724,0.079629,1.038593,24,23,8,1.500000,1.437500,0.500000,4.384001,-0.644881,85.568642
-26,162,2130,-0.012702,0.079140,1.040547,80,-88,6,5.000000,-5.500000,0.375000,4.349011,-0.697337,85.595222
-23,163,2123,-0.011236,0.079629,1.037127,23,-54,5,1.437500,-3.375000,0.312500,4.390193,-0.618881,85.566231
-20,164,2123,-0.009770,0.080117,1.037127,26,-101,63,1.625000,-6.312500,3.937500,4.417084,-0.538143,85.550125
-26,161,2130,-0.012702,0.078652,1.040547,48,-59,-81,3.000000,-3.687500,-5.062500,4.322267,-0.697361,85.621628
-26,164,2131,-0.012702,0.080117,1.041036,46,-5,109,2.875000,-0.312500,6.812500,4.400435,-0.696962,85.544495
-20,159,2131,-0.009770,0.077675,1.041036,8,29,-102,0.500000,1.812500,-6.375000,4.266908,-0.536230,85.699402
-22,162,2129,-0.010747,0.079140,1.040059,28,126,-12,1.750000,7.875000,-0.750000,4.351137,-0.590338,85.608849
-23,164,2126,-0.011236,0.080117,1.038593,20,88,6,1.250000,5.500000,0.375000,4.410813,-0.617991,85.545937
-25,161,2122,-0.012213,0.078652,1.036639,1,68,-34,0.062500,4.250000,-2.125000,4.338522,-0.673055,85.609383
-33,147,2127,-0.016121,0.071812,1.039082,29,68,-8,1.812500,4.250000,-0.500000,3.953032,-0.886747,85.948425
-15,175,2116,-0.007328,0.085491,1.033708,-8,21,15,-0.500000,1.312500,0.937500,4.727667,-0.404772,85.254959
-29,148,2118,-0.014167,0.072301,1.034685,37,-38,24,2.312500,-2.375000,1.500000,3.996800,-0.782546,85.927071
-20,152,2136,-0.009770,0.074255,1.043478,-18,24,-105,-1.125000,1.500000,-6.562500,4.070189,-0.535109,85.894669
-30,146,2122,-0.014656,0.071324,1.036639,1,59,35,0.062500,3.687500,2.187500,3.935528,-0.808061,85.982117
-28,163,2123,-0.013679,0.079629,1.037127,14,-9,-56,0.875000,-0.562500,-3.500000,4.390070,-0.753406,85.545502
-18,162,2128,-0.008793,0.079140,1.039570,26,7,89,1.625000,0.437500,5.562500,4.353251,-0.483235,85.619911
-29,161,2127,-0.014167,0.078652,1.039082,36,81,-78,2.250000,5.062500,-4.875000,4.328261,-0.778907,85.601952
-17,169,2129,-0.008305,0.082560,1.040059,13,83,-14,0.812500,5.187500,-0.875000,4.538477,-0.456061,85.438568
-23,155,2123,-0.011236,0.075721,1.037127,-24,107,-48,-1.500000,6.687500,-3.000000,4.175506,-0.619055,85.778694
-20,167,2124,-0.009770,0.081583,1.037616,7,50,-75,0.437500,3.125000,-4.687500,4.495447,-0.537833,85.472366
-25,157,2122,-0.012213,0.076698,1.036639,26,148,-42,1.625000,9.250000,-2.625000,4.231129,-0.673150,85.715462
-31,163,2124,-0.015144,0.079629,1.037616,16,109,-16,1.000000,6.812500,-1.000000,4.387926,-0.833727,85.533264
-24,161,2126,-0.011724,0.078652,1.038593,-8,88,-3,-0.500000,5.500000,-0.187500,4.330415,-0.644927,85.621643
-22,162,2129,-0.010747,0.079140,1.040059,24,32,23,1.500000,2.000000,1.437500,4.351137,-0.590338,85.608849
-27,156,2128,-0.013190,0.076209,1.039570,20,85,-63,1.250000,5.312500,-3.937500,4.192418,-0.724983,85.745140
-22,167,2122,-0.010747,0.081583,1.036639,40,7,62,2.500000,0.437500,3.875000,4.499624,-0.592166,85.461418
-26,162,2124,-0.012702,0.079140,1.037616,1,64,-107,0.062500,4.000000,-6.687500,4.361247,-0.699295,85.582832
-13,183,2111,-0.006351,0.089399,1.031265,24,106,-74,1.500000,6.625000,-4.625000,4.954421,-0.351517,85.033066
-27,158,2090,-0.013190,0.077186,1.021006,-15,36,-126,-0.937500,2.250000,-7.875000,4.322869,-0.738038,85.614342
-29,157,2103,-0.014167,0.076698,1.027357,24,69,33,1.500000,4.312500,2.062500,4.269106,-0.787856,85.658539
-18,168,2122,-0.008793,0.082071,1.036639,-32,119,-71,-2.000000,7.437500,-4.437500,4.526537,-0.484488,85.447502
-30,157,2125,-0.014656,0.076698,1.038105,30,111,-60,1.875000,6.937500,-3.750000,4.225050,-0.806630,85.698364
-29,167,2128,-0.014167,0.081583,1.039570,6,19,2,0.375000,1.187500,0.125000,4.486814,-0.778375,85.445900
-25,164,2125,-0.012213,0.080117,1.038105,-27,72,-53,-1.687500,4.500000,-3.312500,4.412834,-0.672039,85.536087
-21,163,2124,-0.010259,0.079629,1.037616,17,87,-19,1.062500,5.437500,-1.187500,4.388177,-0.564805,85.575485
-25,165,2128,-0.012213,0.080606,1.039570,20,76,-39,1.250000,4.750000,-2.437500,4.433401,-0.671073,85.515900
-21,154,2126,-0.010259,0.075232,1.038593,44,2,-27,2.750000,0.125000,-1.687500,4.142868,-0.564454,85.818726
-25,161,2132,-0.012213,0.078652,1.041524,25,-54,68,1.562500,-3.375000,4.250000,4.318253,-0.669917,85.629898
-24,155,2121,-0.011724,0.075721,1.036150,30,-48,-40,1.875000,-3.000000,-2.500000,4.179407,-0.646574,85.770699
-26,163,2124,-0.012702,0.079629,1.037616,11,14,-45,0.687500,0.875000,-2.812500,4.388063,-0.699270,85.556351
-21,166,2136,-0.010259,0.081094,1.043478,-5,-58,-8,-0.312500,-3.625000,-0.500000,4.443616,-0.561590,85.520897
-23,160,2130,-0.011236,0.078163,1.040547,7,-118,-16,0.437500,-7.375000,-1.000000,4.295591,-0.616925,85.660172
-24,169,2125,-0.011724,0.082560,1.038105,20,-82,66,1.250000,-5.125000,4.125000,4.546840,-0.645041,85.407440
-23,163,2119,-0.011236,0.079629,1.035173,27,-14,37,1.687500,-0.875000,2.312500,4.398448,-0.620043,85.557892
-29,162,2125,-0.014167,0.079140,1.038105,18,-97,-1,1.125000,-6.062500,-0.062500,4.359124,-0.779608,85.571442
