Elapse,Mag_raw_X,Mag_raw_Y,Mag_raw_Z
1.404,-280,-18,NaN
2.981,-57,-279,-17
5.236,-57,-279,-17
5.294,-61,-283,-15
6.025,-61,-283,-15
3.49,-60,-282,-22
5.165,-56,-282,-24
5.395,-56,-282,-24
4.135,-56,-282,-24
5.274,-54,-278,-18
5.297,-63,-277,-21
4.485,-63,-277,-21
5.305,-63,-277,-21
5.453,-68,-276,-24
5.273,-62,-280,-20
5.28100000000001,-62,-280,-20
5.466,-62,-280,-20
4.26399999999999,-52,-284,-24
5.25100000000001,-57,-279,-15
5.014,-57,-279,-15
5.94399999999999,-57,-279,-15
4.719,-65,-279,-17
4.203,-59,-281,-21
5.52900000000001,-59,-281,-21
5.27,-59,-281,-21
4.204,-64,-280,-22
5.469,-64,-280,-22
5.30600000000001,-61,-283,-17
4.31599999999999,-57,-273,-27
6.42000000000001,-57,-273,-27
8.67599999999999,-57,-273,-27
1.64700000000001,-50,-276,-20
4.58600000000001,-60,-278,-18
5.381,-60,-278,-18
4.247,-60,-278,-18
5.31200000000001,-55,-281,-17
5.40599999999999,-59,-281,-23
8.83399999999998,-59,-281,-23
1.07200000000002,-59,-281,-23
4.883,-59,-283,-11
4.30800000000001,-60,-286,-18
5.64799999999999,-60,-286,-18
5.048,-60,-286,-18
4.27900000000001,-63,-275,-21
6.43199999999999,-55,-281,-11
5.301,-55,-281,-11
4.306,-55,-281,-11
5.26200000000002,-57,-281,-21
5.326,-53,-273,-17
4.37599999999999,-53,-273,-17
5.43800000000003,-56,-286,-22
5.36099999999995,-56,-286,-22
4.16100000000003,-56,-274,-22
5.36799999999998,-56,-274,-20
5.31799999999999,-48,-278,-24
5.25200000000003,-48,-278,-24
4.28000000000001,-48,-278,-24
5.35099999999999,-51,-279,-23
6.31999999999999,-58,-286,-24
4.28200000000001,-58,-286,-24
5.39000000000001,-58,-286,-24
5.34099999999999,-60,-284,-16
4.20199999999998,-56,-284,-20
5.40600000000002,-56,-284,-20
5.245,-56,-284,-20
4.18499999999999,-57,-283,-21
5.33099999999997,-59,-275,-23
5.37300000000002,-59,-275,-23
5.24200000000002,-59,-275,-23
4.25300000000001,-59,-275,-23
5.37099999999996,-55,-279,-17
6.38500000000003,-55,-279,-17
3.16299999999997,-52,-280,-20
6.47300000000001,-52,-280,-20
5.28000000000001,-55,-277,-17
4.21300000000002,-55,-277,-17
5.38,-58,-282,-24
5.23399999999996,-58,-282,-24
4.25400000000004,-56,-284,-20
5.30599999999998,-56,-284,-20
5.357,-60,-278,-22
5.33300000000003,-60,-278,-22
4.24399999999997,-60,-278,-22
5.38700000000003,-58,-280,-24
5.268,-54,-282,-24
4.214,-54,-282,-24
6.46099999999999,-54,-282,-24
5.23600000000002,-63,-281,-25
4.24199999999997,-62,-280,-18
5.31799999999999,-53,-281,-17
5.36000000000003,-53,-281,-17
5.31899999999996,-53,-281,-17
4.26300000000002,-59,-281,-19
5.37500000000002,-57,-279,-13
5.24799999999997,-57,-279,-13
4.24600000000003,-57,-279,-13
5.40399999999996,-56,-278,-26
5.245,-56,-278,-26
4.222,-57,-287,-23
5.45200000000007,-57,-287,-23
6.55899999999998,-57,-279,-21
4.98900000000002,-57,-279,-21
4.25699999999996,-55,-281,-23
5.37599999999994,-55,-281,-23
5.25000000000009,-63,-281,-23
4.25900000000001,-63,-281,-23
5.38399999999994,-57,-285,-21
5.22900000000004,-57,-285,-21
4.23699999999994,-60,-276,-20
5.41900000000006,-60,-276,-20
5.62699999999994,-55,-279,-19
4.90000000000002,-60,-280,-24
4.247,-60,-280,-24
5.37399999999999,-60,-280,-24
5.27300000000008,-52,-278,-22
5.32699999999997,-55,-281,-21
5.37900000000002,-55,-281,-21
5.22499999999992,-55,-281,-21
4.24999999999998,-52,-280,-28
5.413,-45,-283,-27
5.29500000000005,-45,-283,-27
5.24800000000003,-45,-283,-27
4.34400000000001,-51,-281,-29
5.21499999999997,-50,-280,-32
5.28099999999998,-50,-280,-32
4.20900000000002,-50,-280,-32
5.37599999999994,-45,-281,-25
5.2350000000001,-45,-281,-25
5.34999999999997,-46,-284,-20
4.28700000000004,-46,-284,-20
6.37799999999999,-46,-282,-28
5.28899999999999,-46,-282,-28
4.28699999999993,-53,-279,-23
5.216,-52,-288,-30
5.28899999999999,-52,-288,-30
5.35700000000006,-52,-288,-30
4.17900000000004,-45,-281,-25
5.27799999999989,-46,-282,-26
5.40400000000008,-46,-282,-26
4.31700000000002,-46,-282,-26
5.30299999999995,-43,-285,-29
5.30900000000001,-51,-289,-31
4.274,-51,-289,-31
5.247,-51,-289,-31
5.27900000000003,-49,-281,-27
5.41999999999998,-50,-294,-34
5.22599999999995,-50,-294,-34
5.26900000000008,-50,-294,-34
5.38899999999998,-52,-290,-34
4.20500000000001,-43,-279,-29
