Elapse,Mag_X,Mag_Y,Mag_Z
5.498,NaN,69.833336,-6.833333
2.818,-35.833332,69.5,-7.5
2.456,-35.833332,69.5,-7.5
3.679,-35.833332,69.5,-7.5
4.182,-35.833332,69.5,-7.5
1.47,-35.5,69.5,-6.5
4.263,-35.5,69.5,-6.5
4.241,-35.666668,69.666664,-8
3.182,-35.666668,69.666664,-8
3.244,-35.666668,69.666664,-8
3.115,-35.666668,69.666664,-8
4.238,-36,70,-7.333333
3.176,-36,70,-7.333333
4.243,-36.333332,70.333336,-6.666667
2.155,-36.333332,70.333336,-6.666667
4.227,-36.333332,70.333336,-6.666667
3.193,-36.333332,70.333336,-6.666667
4.32199999999999,-36.333332,70.666664,-7.666667
3.13000000000001,-36.333332,70.666664,-7.666667
3.15799999999999,-35.5,70.5,-7.166667
4.247,-35.5,70.5,-7.166667
3.195,-35.5,70.5,-7.166667
4.505,-35.5,70.5,-7.166667
2.944,-35.666668,71.333336,-8.333333
3.161,-35.666668,71.333336,-8.333333
3.196,-36,70,-7.333333
4.257,-36,70,-7.333333
3.19,-36,70,-7.333333
3.19900000000001,-36,70,-7.333333
3.15699999999999,-35.5,69.833336,-6.833333
4.26700000000001,-35.5,69.833336,-6.833333
3.50199999999999,-35.333332,70,-7.666667
3.927,-35.333332,70,-7.666667
3.21,-36.333332,70,-7
3.18600000000001,-36.333332,70,-7
3.21999999999999,-36.333332,70,-7
4.27900000000001,-36.333332,70,-7
3.20999999999999,-36.166668,69.166664,-6.833333
3.25500000000001,-36.166668,69.166664,-6.833333
3.112,-35,69.333336,-7.333333
4.23899999999999,-35,69.333336,-7.333333
3.18000000000002,-35,69.333336,-7.333333
4.29199999999999,-36.5,70.5,-6.833333
2.138,-36.5,70.5,-6.833333
4.16,-34.833332,69.5,-7.166667
3.18599999999999,-34.833332,69.5,-7.166667
4.244,-34.833332,69.5,-7.166667
3.23500000000002,-34.833332,69.5,-7.166667
3.165,-35.833332,70.5,-6.166667
3.273,-35.833332,70.5,-6.166667
4.23399999999999,-36.166668,69.833336,-6.166667
3.18000000000002,-36.166668,69.833336,-6.166667
3.22,-36.166668,69.833336,-6.166667
3.193,-36.166668,69.833336,-6.166667
4.28099999999998,-35.666668,70.666664,-7
3.18000000000002,-35.666668,70.666664,-7
4.75599999999998,-36.333332,70.666664,-7
1.83800000000001,-36.333332,70.666664,-7
4.12899999999999,-36.333332,70.666664,-7
3.18500000000002,-36.333332,70.666664,-7
4.25999999999999,-36.333332,70.666664,-7
3.28100000000001,-36.333332,70.666664,-7
3.11500000000001,-36.5,70.5,-6.833333
4.22599999999998,-36.5,70.5,-6.833333
3.19800000000001,-35.333332,69.666664,-6.333333
4.25,-35.333332,69.666664,-6.333333
2.22900000000001,-35.333332,69.666664,-6.333333
4.15599999999999,-35.333332,69.666664,-6.333333
3.17100000000001,-36.5,70.166664,-6.833333
4.26399999999999,-36.5,70.166664,-6.833333
4.82400000000002,-34.833332,71.166664,-7.833333
1.90299999999999,-34.833332,71.166664,-7.833333
4.08799999999998,-34.833332,71.166664,-7.833333
3.18099999999999,-34.833332,71.166664,-7.833333
4.26500000000002,-36.666668,70,-5.666667
2.11600000000001,-36.666668,70,-5.666667
4.31300000000001,-36.166668,70.833336,-7.833333
3.14500000000001,-36.166668,70.833336,-7.833333
4.24399999999997,-36.166668,70.833336,-7.833333
3.20199999999998,-36.166668,70.833336,-7.833333
3.36700000000001,-36.333332,70.333336,-7.666667
