Elapse,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
4.353,-0.03957,-0.002443,1.00342,-0.9375,2.875,-0.3125
4.1,-0.043967,-0.008305,1.00342,-1.3125,0.75,-0.8125
6.496,-0.042013,0.00342,1.00977,-0.4375,-0.625,-0.1875
5.652,-0.057645,-0.006351,0.999023,0.375,0.875,0.25
5.471,-0.047386,0.005374,0.998534,1.5,-2,-0.0625
3.431,-0.04299,-0.014167,1.005862,0.0625,-0.5625,-1.5625
6.371,-0.029311,-0.000977,0.993161,-1.5625,-2.3125,2.3125
6.417,-0.0298,-0.010259,1.002931,-0.25,0.125,0.75
4.237,-0.048852,-0.002443,1.003908,-0.25,2.0625,1.6875
5.314,-0.038593,-0.00977,0.997557,-1.5625,-0.4375,-1.5625
6.347,-0.036639,-0.007328,1.004885,0.5625,-0.75,-1.6875
4.26,-0.038593,0.001466,1,-2,-0.3125,-0.625
5.234,-0.046898,-0.008793,1.011724,-1.5625,1.3125,-0.625
6.40300000000001,-0.047875,-0.003908,0.997557,0,-1.6875,0.4375
4.285,-0.04299,-0.008305,0.994138,-2.125,0.125,-2.375
5.217,-0.04299,-0.011236,1.006839,-0.125,1.4375,0.9375
6.37700000000001,-0.044455,-0.006351,1.004885,-0.5625,-1.0625,0.3125
5.327,-0.043967,-0.00977,1.009282,-0.125,2.5,-1.4375
4.26599999999999,-0.045432,-0.00342,0.998534,1.375,0.625,-1.0625
5.356,-0.045921,-0.011724,1.002443,-1.5,-0.25,-1.125
5.305,-0.042501,0.001466,1.017098,-1.25,-0.3125,0
4.256,-0.03957,0.000977,1.00342,-1.9375,0.0625,0.3125
5.316,-0.042501,-0.007328,1.008305,-4.1875,1.375,-0.9375
5.30899999999999,-0.04934,-0.012702,1.003908,1.0625,1,4.375
4.249,-0.047386,0.004885,0.997557,1.5,1.3125,-1.9375
5.277,-0.035662,-0.00977,1.017587,-1,-2.5,1.625
5.28200000000001,-0.041036,0.001466,1.011724,-0.1875,-1.3125,2.3125
5.31899999999999,-0.029311,-0.01319,1.00342,-0.1875,-0.9375,0.5625
5.276,-0.046898,-0.006351,1.000977,0.625,1,-1.4375
5.33700000000001,-0.037128,-0.00342,0.991695,-0.125,0.25,1.875
6.352,-0.043478,-0.012702,1.019052,-0.4375,-0.125,1.3125
9.91500000000001,-0.043967,0.007816,0.99658,-1.4375,-0.875,0.4375
0.705999999999984,-0.037128,-0.002443,1.007816,-0.8125,0,2.5625
5.28700000000001,-0.045921,-0.010747,1.009282,-1.1875,1.875,1.5
3.17799999999999,-0.032731,0,0.99658,-0.3125,1,2.0625
6.354,-0.039082,-0.012213,1.001466,-0.8125,-0.25,-1.125
6.33800000000001,-0.043478,-0.01319,0.999023,0.375,-0.1875,0.125
8.079,-0.037128,-0.007328,0.991207,0.625,0.625,2.1875
1.54799999999999,-0.048852,-0.007816,1.01319,0.1875,-0.875,0.0625
5.28600000000001,-0.038105,0.009282,1,0.0625,0.125,1.0625
5.28699999999999,-0.019052,-0.006839,1.005862,-1.0625,-1.625,-0.625
5.276,-0.043967,-0.003908,0.998534,0.25,-0.625,-0.4375
6.37299999999999,-0.046409,-0.01661,0.989741,-0.3125,-0.5,0.1875
5.389,-0.03957,-0.005862,1.00342,0.1875,-1.4375,1.875
4.70799999999999,-0.048363,0.004397,1.001466,-0.375,3.125,-0.625
5.29700000000002,-0.037128,0.001954,1.001466,-1.3125,-1.0625,-0.5
5.29499999999999,-0.045921,-0.010747,0.992672,-0.3125,-0.6875,0.4375
6.36900000000001,-0.046409,-0.011724,1.004397,0.1875,1.9375,0.8125
5.39200000000001,-0.031265,0.010747,1.000977,-1.4375,-1.75,0.5625
4.23399999999996,-0.031754,-0.02638,1.005374,-1.25,1,-2.25
5.31900000000002,-0.041036,-0.012213,1.00342,-0.1875,1.4375,-1.625
5.29400000000002,-0.046409,-0.008793,1.000489,-0.75,-0.5625,1.625
4.25099999999995,-0.04934,-0.010259,1.010747,-0.5,-0.75,-0.875
5.30700000000001,-0.03957,-0.008305,0.999023,0.5,-1.125,0.75
5.30200000000003,-0.035662,-0.008793,1.000489,-1.125,1.0625,1.8125
5.305,-0.048852,-0.008305,1.003908,-0.9375,0.25,-0.8125
4.23299999999999,-0.057645,-0.004397,1.010747,-0.6875,-0.75,-0.5
6.67099999999998,-0.037616,-0.00342,1.012213,-0.5,-1.0625,-1.25
5.00600000000001,-0.041524,-0.012702,1,-1.5,-1.125,0.125
4.19200000000003,-0.034685,-0.001954,0.995115,-3.1875,1.625,1.25
6.48499999999996,-0.037128,-0.002443,1.001954,-0.6875,0.4375,-2.75
5.301,-0.048852,-0.017587,0.988764,-0.6875,1.75,3
4.21100000000002,-0.047875,-0.002443,1.002931,-0.125,-0.875,1.25
5.31100000000001,-0.052272,-0.008305,1.000489,-1,-0.125,-0.8125
5.28799999999996,-0.046409,-0.015633,0.997069,-0.9375,3.375,1.0625
5.32100000000002,-0.048363,-0.000489,1.01319,-1.4375,1.375,1.25
4.20599999999999,-0.037616,0.005862,1.00342,-0.25,-0.875,-2.75
5.37799999999999,-0.038593,-0.002931,1.004885,1.1875,0.5,-0.0625
5.30000000000003,-0.05276,0.004397,1.015633,-3,0.375,-0.9375
4.20999999999999,-0.045921,-0.008793,1.007328,-1.5625,-0.875,3.6875
6.351,-0.034196,-0.004397,1.000489,-1.125,0.0625,1.5
5.28899999999999,-0.03957,0.007328,1.00342,-1.25,2.1875,0.9375
4.27,-0.042501,0.015144,1.001954,-1.8125,1.1875,-0.25
5.272,-0.049829,-0.001466,0.989253,-0.1875,-0.1875,0.4375
5.33600000000001,-0.059111,0.002443,0.99023,-0.8125,-0.9375,0.875
5.465,-0.046898,0,0.997069,-0.8125,0.125,0.875
5.21000000000005,-0.051783,-0.011724,1.012213,-0.3125,-1.9375,-0.125
6.434,-0.035173,-0.003908,1,-0.0625,1.875,2.3125
4.247,-0.055203,-0.001954,0.999023,-2.0625,-0.875,-0.0625
5.31799999999999,-0.030288,-0.014167,1.001466,-0.8125,-0.1875,0.5625
6.34799999999997,-0.038593,-0.000489,1.014167,-0.875,0.0625,-0.5
5.31000000000004,-0.039082,-0.000489,0.989253,-2.75,-0.5,-0.875
4.21199999999999,-0.037128,-0.004885,1.000977,-0.1875,-0.25,-0.125
6.34699999999999,-0.043478,-0.008793,1.007328,1.75,0,2.375
5.30999999999998,-0.045921,-0.010747,0.997069,-2.8125,1.3125,0.75
4.26700000000002,-0.043967,-0.014167,1.01661,-0.3125,-0.3125,-0.3125
6.35200000000002,-0.043967,-0.013679,1.010747,-0.5,-1.5,0
5.29999999999997,-0.044455,-0.004397,0.993649,-0.5625,1.5,1
4.25700000000001,-0.05276,-0.011236,1.010747,-1.75,-0.375,0.375
5.28200000000001,-0.039082,-0.000977,1.001466,-0.0625,1.3125,0.75
6.36399999999998,-0.032731,-0.016121,0.995603,-1.4375,0.3125,1.125
4.24000000000002,-0.050806,0.006351,0.998046,-2,1.75,0.375
