Elapse,Gyro_dPhi,Gyro_dTheta,Gyro_dGama,Gyro_Phi,Gyro_Theta,Gyro_Gama
22.48,NaN,2.3e-05,0.000124,-0.010357,-0.000193,0.001996
66.145,6.7e-05,7e-06,0.000126,-0.01029,-0.000186,0.002121
35.597,5.8e-05,-2.1e-05,0.000122,-0.010232,-0.000207,0.002243
7.50400000000001,4.8e-05,-4.9e-05,0.000113,-0.010184,-0.000256,0.002356
11.756,4.3e-05,-7.8e-05,0.000124,-0.010141,-0.000334,0.00248
9.768,1.9e-05,-7.7e-05,0.000103,-0.010122,-0.000411,0.002583
1.357,-1e-06,-8.2e-05,9.6e-05,-0.010123,-0.000493,0.00268
2.611,-1.4e-05,-7.8e-05,8.2e-05,-0.010137,-0.000571,0.002761
4.22400000000001,-1.9e-05,-6.8e-05,6.4e-05,-0.010156,-0.000638,0.002826
1.12899999999999,-2e-05,-5.5e-05,5.6e-05,-0.010176,-0.000694,0.002881
2.70900000000002,-2.2e-05,-4.8e-05,7.1e-05,-0.010198,-0.000741,0.002952
2.62799999999999,-1.6e-05,-2.7e-05,7.2e-05,-0.010214,-0.000769,0.003024
1.11,-1.5e-05,-1.5e-05,8e-05,-0.010228,-0.000784,0.003104
0.788000000000011,-1.5e-05,-4e-06,8.3e-05,-0.010243,-0.000787,0.003187
0.695999999999974,-1.5e-05,5e-06,8.7e-05,-0.010258,-0.000783,0.003274
3.167,-1.3e-05,1.4e-05,0.0001,-0.010271,-0.000769,0.003374
0.773000000000024,-8e-06,2.9e-05,0.000136,-0.010278,-0.00074,0.00351
3.05499999999997,-1e-06,3.4e-05,0.00013,-0.01028,-0.000706,0.00364
1.34500000000001,1e-06,3.7e-05,0.000134,-0.010279,-0.000668,0.003773
2.22,1e-06,3.2e-05,0.000126,-0.010277,-0.000636,0.003899
1.90599999999999,-0,2.1e-05,0.000115,-0.010277,-0.000616,0.004015
2.73900000000002,-0,1e-05,0.000107,-0.010278,-0.000606,0.004122
1.68299999999999,4e-06,-2e-06,0.000102,-0.010273,-0.000607,0.004224
2.556,6e-06,-1.7e-05,9.4e-05,-0.010268,-0.000625,0.004318
1.328,3e-06,-3.3e-05,7.9e-05,-0.010265,-0.000658,0.004397
1.15200000000001,-1e-06,-4.6e-05,5.8e-05,-0.010266,-0.000703,0.004455
2.40799999999999,-5e-06,-4.8e-05,3.7e-05,-0.010271,-0.000752,0.004492
2.15699999999999,-1.5e-05,-4.4e-05,2.1e-05,-0.010285,-0.000795,0.004513
1.916,-1.8e-05,-1.9e-05,2e-06,-0.010303,-0.000814,0.004514
2.46299999999999,-2e-05,2e-06,-1.2e-05,-0.010323,-0.000812,0.004503
1.23800000000002,-2.3e-05,2.4e-05,-2.4e-05,-0.010345,-0.000789,0.004478
2.244,-2.3e-05,4e-05,-3.8e-05,-0.010369,-0.000749,0.00444
1.33800000000001,-1.9e-05,4.9e-05,-5.8e-05,-0.010388,-0.0007,0.004382
4.67599999999999,-5e-06,4e-05,-5.3e-05,-0.010393,-0.00066,0.004329
1.39,5e-06,3.8e-05,-5e-05,-0.010388,-0.000622,0.004278
2.82099999999999,1.2e-05,3.2e-05,-4.9e-05,-0.010376,-0.00059,0.00423
2.15300000000002,1.9e-05,2.2e-05,-4.7e-05,-0.010357,-0.000567,0.004183
1.60299999999999,2.5e-05,1.4e-05,-3.8e-05,-0.010332,-0.000553,0.004145
1.57499999999999,2.7e-05,1.1e-05,-2.2e-05,-0.010305,-0.000542,0.004123
2.249,2.1e-05,1.1e-05,-8e-06,-0.010284,-0.00053,0.004116
2.04600000000002,1.5e-05,1.3e-05,0,-0.010269,-0.000517,0.004116
3.15499999999999,5e-06,1.5e-05,4e-06,-0.010264,-0.000503,0.00412
1.87099999999998,-4e-06,2e-05,8e-06,-0.010268,-0.000482,0.004128
1.68700000000002,-1.4e-05,2.7e-05,1e-05,-0.010282,-0.000456,0.004138
10.928,-2.6e-05,3.3e-05,1.3e-05,-0.010308,-0.000423,0.004151
2.826,-3.6e-05,3.2e-05,1.4e-05,-0.010344,-0.000391,0.004165
1.77099999999999,-3.9e-05,2.6e-05,6e-06,-0.010383,-0.000365,0.004171
1.805,-3.9e-05,2.2e-05,-1e-05,-0.010422,-0.000342,0.004162
15.961,-4.1e-05,1.9e-05,-2.4e-05,-0.010462,-0.000324,0.004138
1.20799999999999,-4.3e-05,1.3e-05,-3.9e-05,-0.010505,-0.000311,0.004098
1.95499999999998,-4.8e-05,5e-06,-6.4e-05,-0.010553,-0.000305,0.004035
5.03300000000001,-3.6e-05,-4e-06,-6.2e-05,-0.010589,-0.000309,0.003973
5.98799999999999,-2.9e-05,-7e-06,-5.9e-05,-0.010618,-0.000316,0.003914
7.54199999999999,-2.5e-05,-9e-06,-4.4e-05,-0.010643,-0.000326,0.003871
5.08400000000003,-2.2e-05,-1.3e-05,-2.6e-05,-0.010665,-0.000338,0.003845
5.92799999999999,-1.1e-05,-1.4e-05,-5e-06,-0.010676,-0.000352,0.00384
5.33899999999998,-7e-06,-2.2e-05,5e-06,-0.010683,-0.000375,0.003845
6.31199999999998,-8e-06,-3.2e-05,1.6e-05,-0.010691,-0.000407,0.003861
7.51299999999999,-1.2e-05,-3.8e-05,4.3e-05,-0.010702,-0.000445,0.003904
5.28900000000004,-9e-06,-2.2e-05,5.8e-05,-0.010711,-0.000467,0.003962
6.45299999999999,-2e-06,-5e-06,6.3e-05,-0.010714,-0.000472,0.004025
6.48500000000002,7e-06,1.6e-05,5.8e-05,-0.010706,-0.000456,0.004083
5.29599999999997,1.3e-05,3.5e-05,4.9e-05,-0.010693,-0.000421,0.004132
6.60100000000002,1.1e-05,4.7e-05,4e-05,-0.010682,-0.000374,0.004171
5.268,5e-06,5.5e-05,3.2e-05,-0.010676,-0.000319,0.004203
6.40399999999997,2e-06,6.3e-05,2.3e-05,-0.010674,-0.000256,0.004226
5.61500000000004,4e-06,6.8e-05,5e-06,-0.010671,-0.000188,0.004231
6.18099999999999,1.1e-05,7e-05,-1.5e-05,-0.01066,-0.000118,0.004216
6.40400000000002,2.2e-05,6.7e-05,-2.3e-05,-0.010638,-5.1e-05,0.004193
5.35599999999997,3.2e-05,5.5e-05,-1.8e-05,-0.010606,4e-06,0.004175
6.40000000000002,3.6e-05,3.4e-05,-9e-06,-0.01057,3.8e-05,0.004166
6.42100000000001,3e-05,8e-06,7e-06,-0.01054,4.6e-05,0.004174
5.268,2.4e-05,-1.4e-05,2.6e-05,-0.010516,3.2e-05,0.0042
6.33400000000001,2e-05,-3.2e-05,3.8e-05,-0.010496,0,0.004239
5.36299999999995,1.9e-05,-4.2e-05,4.7e-05,-0.010477,-4.2e-05,0.004286
6.36500000000001,2.3e-05,-4.6e-05,5.9e-05,-0.010455,-8.8e-05,0.004344
6.34100000000004,4e-05,-5e-05,7.9e-05,-0.010414,-0.000138,0.004423
5.34499999999999,4.7e-05,-3.5e-05,7.1e-05,-0.010367,-0.000174,0.004495
7.44299999999998,5.3e-05,-2.6e-05,7e-05,-0.010315,-0.0002,0.004565
6.34600000000002,5.1e-05,-2e-05,6.7e-05,-0.010263,-0.00022,0.004633
5.40399999999996,4.7e-05,-1.8e-05,6.1e-05,-0.010217,-0.000238,0.004694
10.752,4.2e-05,-1.7e-05,5e-05,-0.010175,-0.000254,0.004744
1.99099999999997,4e-05,-1.7e-05,2.7e-05,-0.010135,-0.000271,0.00477
5.40500000000005,4.3e-05,-1.3e-05,-2e-06,-0.010092,-0.000285,0.004768
6.31399999999999,4.7e-05,-4e-06,-2.6e-05,-0.010045,-0.000289,0.004742
5.35099999999999,5.5e-05,2e-06,-4.8e-05,-0.009991,-0.000287,0.004695
7.53700000000002,4.5e-05,-2e-06,-5.7e-05,-0.009946,-0.000288,0.004638
6.29999999999997,4.6e-05,-9e-06,-7.1e-05,-0.009899,-0.000297,0.004567
5.444,5e-05,-1.1e-05,-8e-05,-0.00985,-0.000308,0.004487
6.29500000000005,5e-05,-9e-06,-8e-05,-0.0098,-0.000317,0.004408
5.444,4.9e-05,-5e-06,-8.5e-05,-0.009751,-0.000322,0.004323
6.44699999999998,2.6e-05,9e-06,-6.1e-05,-0.009726,-0.000313,0.004262
7.44099999999992,1e-05,2.4e-05,-4.5e-05,-0.009716,-0.000289,0.004218
5.38100000000008,-3e-06,3.6e-05,-2.8e-05,-0.009719,-0.000253,0.004189
6.45399999999996,-1.9e-05,4.8e-05,-1.7e-05,-0.009738,-0.000205,0.004172
5.31199999999998,-3.4e-05,6.1e-05,-1.5e-05,-0.009773,-0.000144,0.004157
6.48599999999999,-4.2e-05,7.3e-05,-2.2e-05,-0.009815,-7.2e-05,0.004135
6.24100000000005,-4.9e-05,8.8e-05,-3.3e-05,-0.009864,1.6e-05,0.004102
5.42100000000001,-3.6e-05,6.5e-05,-3e-05,-0.0099,8.1e-05,0.004072
7.498,-2.9e-05,5.5e-05,-3.1e-05,-0.009929,0.000136,0.00404
5.34699999999999,-2.2e-05,5.4e-05,-3.5e-05,-0.009951,0.000189,0.004006
6.40200000000002,-1.7e-05,5.8e-05,-3.6e-05,-0.009968,0.000247,0.00397
6.4519999999999,-1.5e-05,6.2e-05,-2.6e-05,-0.009983,0.000309,0.003944
5.32300000000008,-1.6e-05,6e-05,-1.1e-05,-0.009999,0.00037,0.003933
6.36700000000001,-2.4e-05,5.1e-05,1e-06,-0.010023,0.000421,0.003934
5.37999999999994,-3.9e-05,4.3e-05,7e-06,-0.010062,0.000464,0.003941
6.35399999999997,-5.4e-05,3.6e-05,1.3e-05,-0.010116,0.0005,0.003954
6.53900000000007,-6.3e-05,2.6e-05,1.8e-05,-0.010179,0.000526,0.003972
5.243,-6.6e-05,1.3e-05,1.7e-05,-0.010245,0.000539,0.003989
6.46099999999994,-6.4e-05,-2e-06,9e-06,-0.010309,0.000537,0.003997
6.45499999999999,-5.9e-05,-8e-06,2e-06,-0.010368,0.000528,0.003999
5.37100000000001,-6e-05,0,6e-06,-0.010428,0.000529,0.004005
6.35200000000002,-4.7e-05,1.2e-05,1.5e-05,-0.010475,0.00054,0.004021
5.34699999999999,-4.8e-05,1.8e-05,2e-05,-0.010523,0.000559,0.004041
6.62300000000005,-5.1e-05,1.7e-05,2.2e-05,-0.010574,0.000576,0.004062
6.06299999999993,-5e-05,5e-06,3e-05,-0.010623,0.000581,0.004092
5.38400000000006,-4.6e-05,-1.3e-05,4.6e-05,-0.01067,0.000568,0.004138
6.34199999999996,-4.2e-05,-3.3e-05,7e-05,-0.010712,0.000535,0.004208
7.55100000000009,-3.5e-05,-5.1e-05,9.7e-05,-0.010747,0.000484,0.004306
5.2319999999999,-2.7e-05,-6.1e-05,0.00012,-0.010774,0.000423,0.004425
6.40400000000008,-2.3e-05,-6.1e-05,0.000136,-0.010797,0.000362,0.004561
5.43099999999996,-2.7e-05,-5.6e-05,0.00015,-0.010824,0.000306,0.004711
6.29299999999999,-3.2e-05,-5.3e-05,0.000154,-0.010857,0.000253,0.004865
6.45899999999999,-3.2e-05,-5.6e-05,0.00015,-0.010888,0.000196,0.005015
5.39400000000001,-2.3e-05,-6.3e-05,0.000138,-0.010911,0.000134,0.005152
6.38300000000003,-1.6e-05,-7.5e-05,0.000135,-0.010927,5.9e-05,0.005287
5.32900000000003,-7e-06,-5.9e-05,8.7e-05,-0.010934,-0,0.005374
7.57399999999997,-1e-06,-4.8e-05,5.8e-05,-0.010935,-4.8e-05,0.005432
6.521,-0,-3.4e-05,3.5e-05,-0.010936,-8.2e-05,0.005468
5.41099999999994,-4e-06,-2.4e-05,2.4e-05,-0.010939,-0.000106,0.005491
6.34200000000007,-5e-06,-1.9e-05,2e-05,-0.010944,-0.000125,0.005512
5.38699999999992,-1e-06,-1.2e-05,1.7e-05,-0.010945,-0.000137,0.005528
6.43100000000008,2e-06,3e-06,5e-06,-0.010943,-0.000134,0.005533
6.40099999999999,-2e-06,1.4e-05,-2e-06,-0.010945,-0.000121,0.005531
6.43700000000003,-8e-06,2.1e-05,-2e-06,-0.010953,-9.9e-05,0.005529
6.30999999999993,-4e-06,2.8e-05,5e-06,-0.010957,-7.1e-05,0.005534
5.36500000000006,3e-06,3.2e-05,1.9e-05,-0.010954,-3.9e-05,0.005553
6.772,6e-06,3.2e-05,3.3e-05,-0.010948,-8e-06,0.005586
5.18200000000002,3e-06,2.8e-05,4.3e-05,-0.010945,2e-05,0.005629
6.58399999999992,-5e-06,2.2e-05,4.9e-05,-0.010951,4.2e-05,0.005678
6.42700000000007,-1.6e-05,1.7e-05,4.9e-05,-0.010966,5.9e-05,0.005726
5.27,-2.6e-05,1.5e-05,4.6e-05,-0.010992,7.4e-05,0.005773
6.436,-2.9e-05,1.2e-05,4.5e-05,-0.011021,8.6e-05,0.005818
5.38499999999997,-2.7e-05,5e-06,4.5e-05,-0.011048,9.1e-05,0.005863
6.39599999999996,-2.9e-05,-8e-06,4.8e-05,-0.011076,8.3e-05,0.00591
5.37200000000004,-3.6e-05,-2.6e-05,5.1e-05,-0.011113,5.7e-05,0.005962
6.36099999999995,-4.1e-05,-3.6e-05,5.1e-05,-0.011153,2.1e-05,0.006012
6.78699999999999,-3.9e-05,-3.4e-05,4.2e-05,-0.011193,-1.3e-05,0.006055
4.97500000000006,-4e-05,-2.7e-05,3.1e-05,-0.011232,-4e-05,0.006086
7.50200000000001,-2.2e-05,-1.3e-05,1e-05,-0.011254,-5.2e-05,0.006096
